Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 921,current eyeGaze_left: Position (0.005077198, 1.078975, -0.05761841), Orientation(0.2116254, 0.004406778, -0.01802879, 0.9771746), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 934,current eyeGaze_left: Position (0.005077198, 1.078975, -0.05761841), Orientation(0.2116254, 0.004406778, -0.01802879, 0.9771746), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 949,current eyeGaze_left: Position (0.005077198, 1.078975, -0.05761841), Orientation(0.2116254, 0.004406778, -0.01802879, 0.9771746), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 962,current eyeGaze_left: Position (0.004848056, 1.07906, -0.05696904), Orientation(0.2104553, 0.002621945, -0.01647198, 0.9774612), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 977,current eyeGaze_left: Position (0.004848056, 1.07906, -0.05696904), Orientation(0.2104553, 0.002621945, -0.01647198, 0.9774612), Confidence: 0.5

Timestamp: 11/2/2024 5:25:17 PM, Millisecond: 991,current eyeGaze_left: Position (0.004503924, 1.079059, -0.05606315), Orientation(0.2105614, -0.0009283641, -0.01526304, 0.977461), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 4,current eyeGaze_left: Position (0.004503924, 1.079059, -0.05606315), Orientation(0.2105614, -0.0009283641, -0.01526304, 0.977461), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 18,current eyeGaze_left: Position (0.003777649, 1.079133, -0.05501391), Orientation(0.2109536, -0.0008054959, -0.01396764, 0.977396), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 32,current eyeGaze_left: Position (0.003777649, 1.079133, -0.05501391), Orientation(0.2109536, -0.0008054959, -0.01396764, 0.977396), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 47,current eyeGaze_left: Position (0.003777649, 1.079133, -0.05501391), Orientation(0.2109536, -0.0008054959, -0.01396764, 0.977396), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 60,current eyeGaze_left: Position (0.002856363, 1.079154, -0.053904), Orientation(0.2104597, 0.001016981, -0.01256021, 0.9775213), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 74,current eyeGaze_left: Position (0.002856363, 1.079154, -0.053904), Orientation(0.2104597, 0.001016981, -0.01256021, 0.9775213), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 88,current eyeGaze_left: Position (0.00204771, 1.079235, -0.05295626), Orientation(0.2090014, 0.001577149, -0.01094708, 0.9778528), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 101,current eyeGaze_left: Position (0.00204771, 1.079235, -0.05295626), Orientation(0.2090014, 0.001577149, -0.01094708, 0.9778528), Confidence: 0.5

