
Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 186,current eyeGaze_left: Position (0.02414428, 1.150393, 0.211851), Orientation(0.1151876, -0.01333124, -0.0297805, 0.9928078), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 199,current eyeGaze_left: Position (0.02411193, 1.150449, 0.2118864), Orientation(0.1155381, -0.01460317, -0.0299519, 0.992744), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 214,current eyeGaze_left: Position (0.02411193, 1.150449, 0.2118864), Orientation(0.1155381, -0.01460317, -0.0299519, 0.992744), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 228,current eyeGaze_left: Position (0.02417644, 1.150485, 0.2119662), Orientation(0.1155728, -0.01506885, -0.0301582, 0.9927267), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 241,current eyeGaze_left: Position (0.02417644, 1.150485, 0.2119662), Orientation(0.1155728, -0.01506885, -0.0301582, 0.9927267), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 256,current eyeGaze_left: Position (0.02431191, 1.150501, 0.2120186), Orientation(0.1167732, -0.01504344, -0.03040682, 0.9925791), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 269,current eyeGaze_left: Position (0.02431191, 1.150501, 0.2120186), Orientation(0.1167732, -0.01504344, -0.03040682, 0.9925791), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 284,current eyeGaze_left: Position (0.02431191, 1.150501, 0.2120186), Orientation(0.1167732, -0.01504344, -0.03040682, 0.9925791), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 297,current eyeGaze_left: Position (0.02443544, 1.150581, 0.2119688), Orientation(0.1168681, -0.01340851, -0.03030101, 0.9925945), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 311,current eyeGaze_left: Position (0.02443544, 1.150581, 0.2119688), Orientation(0.1168681, -0.01340851, -0.03030101, 0.9925945), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 326,current eyeGaze_left: Position (0.02455274, 1.150605, 0.2119606), Orientation(0.1153539, -0.01312157, -0.03040008, 0.9927724), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 339,current eyeGaze_left: Position (0.02455274, 1.150605, 0.2119606), Orientation(0.1153539, -0.01312157, -0.03040008, 0.9927724), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 353,current eyeGaze_left: Position (0.02455274, 1.150605, 0.2119606), Orientation(0.1153539, -0.01312157, -0.03040008, 0.9927724), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 367,current eyeGaze_left: Position (0.02466438, 1.150536, 0.2119711), Orientation(0.1151526, -0.01370444, -0.03048571, 0.9927852), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 381,current eyeGaze_left: Position (0.02466438, 1.150536, 0.2119711), Orientation(0.1151526, -0.01370444, -0.03048571, 0.9927852), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 395,current eyeGaze_left: Position (0.0247636, 1.150488, 0.2119585), Orientation(0.1156821, -0.01407204, -0.03060464, 0.992715), Confidence: 0.5

