Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 59,current eyeGaze_left: Position (-0.04312086, 1.082088, 0.007255307), Orientation(0.1335387, 0.02012816, -0.04535379, 0.9898006), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 71,current eyeGaze_left: Position (-0.04339665, 1.082041, 0.007196057), Orientation(0.1330904, 0.02225061, -0.04506203, 0.989829), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 85,current eyeGaze_left: Position (-0.04339665, 1.082041, 0.007196057), Orientation(0.1330904, 0.02225061, -0.04506203, 0.989829), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 100,current eyeGaze_left: Position (-0.0438165, 1.082051, 0.007282586), Orientation(0.1320352, 0.02449659, -0.04472958, 0.9899324), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 113,current eyeGaze_left: Position (-0.0438165, 1.082051, 0.007282586), Orientation(0.1320352, 0.02449659, -0.04472958, 0.9899324), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 128,current eyeGaze_left: Position (-0.0442859, 1.082061, 0.007407048), Orientation(0.1317732, 0.02504038, -0.0446985, 0.989955), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 141,current eyeGaze_left: Position (-0.0442859, 1.082061, 0.007407048), Orientation(0.1317732, 0.02504038, -0.0446985, 0.989955), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 155,current eyeGaze_left: Position (-0.0442859, 1.082061, 0.007407048), Orientation(0.1317732, 0.02504038, -0.0446985, 0.989955), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 169,current eyeGaze_left: Position (-0.04474654, 1.082014, 0.007552059), Orientation(0.1318153, 0.02546168, -0.04469585, 0.9899387), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 183,current eyeGaze_left: Position (-0.04474654, 1.082014, 0.007552059), Orientation(0.1318153, 0.02546168, -0.04469585, 0.9899387), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 197,current eyeGaze_left: Position (-0.04512414, 1.081951, 0.00775464), Orientation(0.1323019, 0.02315599, -0.04488869, 0.9899217), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 210,current eyeGaze_left: Position (-0.04512414, 1.081951, 0.00775464), Orientation(0.1323019, 0.02315599, -0.04488869, 0.9899217), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 225,current eyeGaze_left: Position (-0.04512414, 1.081951, 0.00775464), Orientation(0.1323019, 0.02315599, -0.04488869, 0.9899217), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 238,current eyeGaze_left: Position (-0.04547641, 1.081898, 0.008010017), Orientation(0.1325292, 0.0232255, -0.04473048, 0.9898969), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 252,current eyeGaze_left: Position (-0.04547641, 1.081898, 0.008010017), Orientation(0.1325292, 0.0232255, -0.04473048, 0.9898969), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 268,current eyeGaze_left: Position (-0.04575851, 1.081887, 0.008296714), Orientation(0.1334239, 0.02178203, -0.04434272, 0.9898269), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 280,current eyeGaze_left: Position (-0.04575851, 1.081887, 0.008296714), Orientation(0.1334239, 0.02178203, -0.04434272, 0.9898269), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 294,current eyeGaze_left: Position (-0.04575851, 1.081887, 0.008296714), Orientation(0.1334239, 0.02178203, -0.04434272, 0.9898269), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 308,current eyeGaze_left: Position (-0.04591668, 1.081973, 0.008629905), Orientation(0.13454, 0.02165953, -0.04325245, 0.9897268), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 321,current eyeGaze_left: Position (-0.04591668, 1.081973, 0.008629905), Orientation(0.13454, 0.02165953, -0.04325245, 0.9897268), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 335,current eyeGaze_left: Position (-0.04594773, 1.082153, 0.008989991), Orientation(0.13793, 0.02366096, -0.04191061, 0.989272), Confidence: 0.5

