Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 21,current eyeGaze_left: Position (-0.06909503, 1.190554, 0.00868186), Orientation(0.1171175, -0.0112462, -0.03402314, 0.9924715), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 35,current eyeGaze_left: Position (-0.06894928, 1.190506, 0.008979185), Orientation(0.1136134, -0.0128189, -0.03330511, 0.992884), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 49,current eyeGaze_left: Position (-0.06894928, 1.190506, 0.008979185), Orientation(0.1136134, -0.0128189, -0.03330511, 0.992884), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 63,current eyeGaze_left: Position (-0.06869769, 1.190537, 0.009254902), Orientation(0.1142862, -0.01221336, -0.03210728, 0.9928539), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 76,current eyeGaze_left: Position (-0.06869769, 1.190537, 0.009254902), Orientation(0.1142862, -0.01221336, -0.03210728, 0.9928539), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 91,current eyeGaze_left: Position (-0.06869769, 1.190537, 0.009254902), Orientation(0.1142862, -0.01221336, -0.03210728, 0.9928539), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 105,current eyeGaze_left: Position (-0.0684898, 1.190642, 0.009483085), Orientation(0.1141337, -0.01250344, -0.03177889, 0.9928782), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 118,current eyeGaze_left: Position (-0.0684898, 1.190642, 0.009483085), Orientation(0.1141337, -0.01250344, -0.03177889, 0.9928782), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 133,current eyeGaze_left: Position (-0.06827576, 1.190693, 0.009650115), Orientation(0.1143077, -0.0107598, -0.03160552, 0.9928842), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 146,current eyeGaze_left: Position (-0.06827576, 1.190693, 0.009650115), Orientation(0.1143077, -0.0107598, -0.03160552, 0.9928842), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 161,current eyeGaze_left: Position (-0.06827576, 1.190693, 0.009650115), Orientation(0.1143077, -0.0107598, -0.03160552, 0.9928842), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 174,current eyeGaze_left: Position (-0.06813896, 1.190688, 0.009729686), Orientation(0.1138279, -0.01144479, -0.0322193, 0.9929119), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 189,current eyeGaze_left: Position (-0.06813896, 1.190688, 0.009729686), Orientation(0.1138279, -0.01144479, -0.0322193, 0.9929119), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 202,current eyeGaze_left: Position (-0.06799401, 1.190561, 0.00975831), Orientation(0.1136483, -0.01092984, -0.0327915, 0.9929197), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 215,current eyeGaze_left: Position (-0.06799401, 1.190561, 0.00975831), Orientation(0.1136483, -0.01092984, -0.0327915, 0.9929197), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 231,current eyeGaze_left: Position (-0.06787892, 1.190462, 0.009713006), Orientation(0.1156197, -0.01087356, -0.03316616, 0.9926801), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 244,current eyeGaze_left: Position (-0.06787892, 1.190462, 0.009713006), Orientation(0.1156197, -0.01087356, -0.03316616, 0.9926801), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 259,current eyeGaze_left: Position (-0.06787892, 1.190462, 0.009713006), Orientation(0.1156197, -0.01087356, -0.03316616, 0.9926801), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 272,current eyeGaze_left: Position (-0.06790775, 1.190385, 0.009663641), Orientation(0.1151475, -0.008630381, -0.03335405, 0.9927507), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 286,current eyeGaze_left: Position (-0.06790775, 1.190385, 0.009663641), Orientation(0.1151475, -0.008630381, -0.03335405, 0.9927507), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 300,current eyeGaze_left: Position (-0.06809695, 1.190313, 0.009592502), Orientation(0.11313, -0.007464758, -0.03380797, 0.9929767), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 313,current eyeGaze_left: Position (-0.06809695, 1.190313, 0.009592502), Orientation(0.11313, -0.007464758, -0.03380797, 0.9929767), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 328,current eyeGaze_left: Position (-0.06809695, 1.190313, 0.009592502), Orientation(0.11313, -0.007464758, -0.03380797, 0.9929767), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 342,current eyeGaze_left: Position (-0.06835811, 1.190139, 0.009548509), Orientation(0.1121441, -0.007246415, -0.03417555, 0.9930776), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 356,current eyeGaze_left: Position (-0.06835811, 1.190139, 0.009548509), Orientation(0.1121441, -0.007246415, -0.03417555, 0.9930776), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 370,current eyeGaze_left: Position (-0.06873949, 1.189879, 0.009456839), Orientation(0.1137344, -0.008461983, -0.03445191, 0.9928776), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 383,current eyeGaze_left: Position (-0.06873949, 1.189879, 0.009456839), Orientation(0.1137344, -0.008461983, -0.03445191, 0.9928776), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 398,current eyeGaze_left: Position (-0.06917688, 1.189633, 0.009431554), Orientation(0.1163991, -0.01059671, -0.03475626, 0.9925376), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 411,current eyeGaze_left: Position (-0.06917688, 1.189633, 0.009431554), Orientation(0.1163991, -0.01059671, -0.03475626, 0.9925376), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 426,current eyeGaze_left: Position (-0.06917688, 1.189633, 0.009431554), Orientation(0.1163991, -0.01059671, -0.03475626, 0.9925376), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 439,current eyeGaze_left: Position (-0.06965955, 1.189405, 0.009390472), Orientation(0.1153672, -0.01090943, -0.0345879, 0.9926606), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 453,current eyeGaze_left: Position (-0.06965955, 1.189405, 0.009390472), Orientation(0.1153672, -0.01090943, -0.0345879, 0.9926606), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 467,current eyeGaze_left: Position (-0.07008062, 1.189211, 0.009375067), Orientation(0.1141177, -0.01040613, -0.0341041, 0.9928272), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 481,current eyeGaze_left: Position (-0.07008062, 1.189211, 0.009375067), Orientation(0.1141177, -0.01040613, -0.0341041, 0.9928272), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 495,current eyeGaze_left: Position (-0.07036876, 1.189088, 0.009289492), Orientation(0.1134083, -0.01119117, -0.03317525, 0.9929314), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 509,current eyeGaze_left: Position (-0.07036876, 1.189088, 0.009289492), Orientation(0.1134083, -0.01119117, -0.03317525, 0.9929314), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 523,current eyeGaze_left: Position (-0.07036876, 1.189088, 0.009289492), Orientation(0.1134083, -0.01119117, -0.03317525, 0.9929314), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 537,current eyeGaze_left: Position (-0.07068259, 1.188975, 0.009238437), Orientation(0.1155672, -0.01230358, -0.03191502, 0.9927105), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 550,current eyeGaze_left: Position (-0.07068259, 1.188975, 0.009238437), Orientation(0.1155672, -0.01230358, -0.03191502, 0.9927105), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 565,current eyeGaze_left: Position (-0.07106146, 1.188873, 0.009130316), Orientation(0.115053, -0.01226651, -0.03032366, 0.9928206), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 578,current eyeGaze_left: Position (-0.07106146, 1.188873, 0.009130316), Orientation(0.115053, -0.01226651, -0.03032366, 0.9928206), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 593,current eyeGaze_left: Position (-0.07106146, 1.188873, 0.009130316), Orientation(0.115053, -0.01226651, -0.03032366, 0.9928206), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 606,current eyeGaze_left: Position (-0.07142243, 1.188742, 0.009081118), Orientation(0.1158701, -0.01287838, -0.02877359, 0.9927641), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 620,current eyeGaze_left: Position (-0.07142243, 1.188742, 0.009081118), Orientation(0.1158701, -0.01287838, -0.02877359, 0.9927641), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 634,current eyeGaze_left: Position (-0.07175595, 1.188575, 0.00906462), Orientation(0.116407, -0.01429395, -0.02791579, 0.9927064), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 648,current eyeGaze_left: Position (-0.07175595, 1.188575, 0.00906462), Orientation(0.116407, -0.01429395, -0.02791579, 0.9927064), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 663,current eyeGaze_left: Position (-0.07175595, 1.188575, 0.00906462), Orientation(0.116407, -0.01429395, -0.02791579, 0.9927064), Confidence: 0.5

Timestamp: 11/24/2024 2:25:48 PM, Millisecond: 676,current eyeGaze_left: Position (-0.07201305, 1.188462, 0.009045722), Orientation(0.1173414, -0.01353318, -0.02709582, 0.9926297), Confidence: 0.5

