
Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 132,current eyeGaze_left: Position (0.02482527, 1.083079, -0.01628086), Orientation(0.1282347, -0.004067008, -0.01764889, 0.9915785), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 146,current eyeGaze_left: Position (0.02496837, 1.082965, -0.01633121), Orientation(0.1268015, -0.003586226, -0.01764093, 0.9917647), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 160,current eyeGaze_left: Position (0.02496837, 1.082965, -0.01633121), Orientation(0.1268015, -0.003586226, -0.01764093, 0.9917647), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 174,current eyeGaze_left: Position (0.02496837, 1.082965, -0.01633121), Orientation(0.1268015, -0.003586226, -0.01764093, 0.9917647), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 188,current eyeGaze_left: Position (0.02512193, 1.082874, -0.01640292), Orientation(0.1288173, -0.00368922, -0.01778784, 0.9915019), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 203,current eyeGaze_left: Position (0.02512193, 1.082874, -0.01640292), Orientation(0.1288173, -0.00368922, -0.01778784, 0.9915019), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 216,current eyeGaze_left: Position (0.02525531, 1.082862, -0.01641868), Orientation(0.1279112, -0.004205578, -0.01814304, 0.9916108), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 230,current eyeGaze_left: Position (0.02525531, 1.082862, -0.01641868), Orientation(0.1279112, -0.004205578, -0.01814304, 0.9916108), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 244,current eyeGaze_left: Position (0.02533448, 1.082871, -0.01636939), Orientation(0.129528, -0.004918271, -0.01847851, 0.9913914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 257,current eyeGaze_left: Position (0.02533448, 1.082871, -0.01636939), Orientation(0.129528, -0.004918271, -0.01847851, 0.9913914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 272,current eyeGaze_left: Position (0.02533448, 1.082871, -0.01636939), Orientation(0.129528, -0.004918271, -0.01847851, 0.9913914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 285,current eyeGaze_left: Position (0.02538894, 1.082887, -0.01632278), Orientation(0.1299274, -0.005499546, -0.01853047, 0.991335), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 299,current eyeGaze_left: Position (0.02538894, 1.082887, -0.01632278), Orientation(0.1299274, -0.005499546, -0.01853047, 0.991335), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 313,current eyeGaze_left: Position (0.02542215, 1.08291, -0.01626715), Orientation(0.130131, -0.007319802, -0.0188112, 0.9912914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 327,current eyeGaze_left: Position (0.02542215, 1.08291, -0.01626715), Orientation(0.130131, -0.007319802, -0.0188112, 0.9912914), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 341,current eyeGaze_left: Position (0.02545637, 1.082896, -0.01616438), Orientation(0.1280086, -0.00962244, -0.0190316, 0.9915438), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 355,current eyeGaze_left: Position (0.02545637, 1.082896, -0.01616438), Orientation(0.1280086, -0.00962244, -0.0190316, 0.9915438), Confidence: 0.5

Timestamp: 11/24/2024 2:01:56 PM, Millisecond: 370,current eyeGaze_left: Position (0.02545637, 1.082896, -0.01616438), Orientation(0.1280086, -0.00962244, -0.0190316, 0.9915438), Confidence: 0.5

