Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 730,current eyeGaze_left: Position (-0.01824633, 1.127182, 0.04374844), Orientation(0.03468855, -0.04990524, -0.05388336, 0.9966959), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 744,current eyeGaze_left: Position (-0.01567356, 1.126843, 0.04432571), Orientation(0.04101107, -0.04827038, -0.05726064, 0.9963481), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 757,current eyeGaze_left: Position (-0.01567356, 1.126843, 0.04432571), Orientation(0.04101107, -0.04827038, -0.05726064, 0.9963481), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 771,current eyeGaze_left: Position (-0.01343443, 1.126506, 0.04478839), Orientation(0.04375188, -0.04397831, -0.05986667, 0.9962769), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 784,current eyeGaze_left: Position (-0.01343443, 1.126506, 0.04478839), Orientation(0.04375188, -0.04397831, -0.05986667, 0.9962769), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 799,current eyeGaze_left: Position (-0.01343443, 1.126506, 0.04478839), Orientation(0.04375188, -0.04397831, -0.05986667, 0.9962769), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 813,current eyeGaze_left: Position (-0.01161325, 1.126057, 0.04532201), Orientation(0.04632367, -0.04231583, -0.06120532, 0.9961513), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 828,current eyeGaze_left: Position (-0.01161325, 1.126057, 0.04532201), Orientation(0.04632367, -0.04231583, -0.06120532, 0.9961513), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 841,current eyeGaze_left: Position (-0.0104439, 1.125519, 0.04592752), Orientation(0.0498019, -0.04353927, -0.06213881, 0.9958729), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 855,current eyeGaze_left: Position (-0.0104439, 1.125519, 0.04592752), Orientation(0.0498019, -0.04353927, -0.06213881, 0.9958729), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 869,current eyeGaze_left: Position (-0.009784203, 1.125269, 0.04645241), Orientation(0.05091279, -0.04277316, -0.06093695, 0.9959241), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 883,current eyeGaze_left: Position (-0.009784203, 1.125269, 0.04645241), Orientation(0.05091279, -0.04277316, -0.06093695, 0.9959241), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 898,current eyeGaze_left: Position (-0.009784203, 1.125269, 0.04645241), Orientation(0.05091279, -0.04277316, -0.06093695, 0.9959241), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 912,current eyeGaze_left: Position (-0.009570334, 1.125304, 0.0470752), Orientation(0.05214848, -0.04497238, -0.05790747, 0.9959443), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 925,current eyeGaze_left: Position (-0.009570334, 1.125304, 0.0470752), Orientation(0.05214848, -0.04497238, -0.05790747, 0.9959443), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 939,current eyeGaze_left: Position (-0.009715181, 1.125357, 0.0477103), Orientation(0.05317204, -0.04413689, -0.05378889, 0.9961582), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 953,current eyeGaze_left: Position (-0.009715181, 1.125357, 0.0477103), Orientation(0.05317204, -0.04413689, -0.05378889, 0.9961582), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 967,current eyeGaze_left: Position (-0.009715181, 1.125357, 0.0477103), Orientation(0.05317204, -0.04413689, -0.05378889, 0.9961582), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 981,current eyeGaze_left: Position (-0.01031747, 1.125543, 0.04821423), Orientation(0.05405382, -0.03995197, -0.05016409, 0.9964766), Confidence: 0.5

Timestamp: 11/2/2024 9:02:27 PM, Millisecond: 996,current eyeGaze_left: Position (-0.01031747, 1.125543, 0.04821423), Orientation(0.05405382, -0.03995197, -0.05016409, 0.9964766), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 10,current eyeGaze_left: Position (-0.01101791, 1.12588, 0.04847136), Orientation(0.05566408, -0.0389118, -0.04605095, 0.9966277), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 23,current eyeGaze_left: Position (-0.01101791, 1.12588, 0.04847136), Orientation(0.05566408, -0.0389118, -0.04605095, 0.9966277), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 38,current eyeGaze_left: Position (-0.0118962, 1.12623, 0.0483628), Orientation(0.05757767, -0.03900843, -0.04327008, 0.9966398), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 52,current eyeGaze_left: Position (-0.0118962, 1.12623, 0.0483628), Orientation(0.05757767, -0.03900843, -0.04327008, 0.9966398), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 66,current eyeGaze_left: Position (-0.0118962, 1.12623, 0.0483628), Orientation(0.05757767, -0.03900843, -0.04327008, 0.9966398), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 80,current eyeGaze_left: Position (-0.0130039, 1.126624, 0.04790217), Orientation(0.05724716, -0.03666295, -0.04127029, 0.9968326), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 95,current eyeGaze_left: Position (-0.0130039, 1.126624, 0.04790217), Orientation(0.05724716, -0.03666295, -0.04127029, 0.9968326), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 108,current eyeGaze_left: Position (-0.01429268, 1.126913, 0.0474669), Orientation(0.05697238, -0.03528534, -0.03875487, 0.9969991), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 121,current eyeGaze_left: Position (-0.01429268, 1.126913, 0.0474669), Orientation(0.05697238, -0.03528534, -0.03875487, 0.9969991), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 136,current eyeGaze_left: Position (-0.01585453, 1.127132, 0.04714663), Orientation(0.05448962, -0.03197717, -0.03530161, 0.9973777), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 149,current eyeGaze_left: Position (-0.01585453, 1.127132, 0.04714663), Orientation(0.05448962, -0.03197717, -0.03530161, 0.9973777), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 166,current eyeGaze_left: Position (-0.01585453, 1.127132, 0.04714663), Orientation(0.05448962, -0.03197717, -0.03530161, 0.9973777), Confidence: 0.5

