
Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 80,current eyeGaze_left: Position (-0.2106904, 1.139722, 0.1651835), Orientation(-0.08731348, 0.01022212, 0.04517611, -0.9951036), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 95,current eyeGaze_left: Position (-0.2106437, 1.139691, 0.1651974), Orientation(-0.08703447, 0.01362216, 0.04563542, -0.9950663), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 108,current eyeGaze_left: Position (-0.2106437, 1.139691, 0.1651974), Orientation(-0.08703447, 0.01362216, 0.04563542, -0.9950663), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 122,current eyeGaze_left: Position (-0.2106437, 1.139691, 0.1651974), Orientation(-0.08703447, 0.01362216, 0.04563542, -0.9950663), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 136,current eyeGaze_left: Position (-0.2106421, 1.139714, 0.1651998), Orientation(-0.08685167, 0.01374179, 0.04575999, -0.9950749), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 153,current eyeGaze_left: Position (-0.2106421, 1.139714, 0.1651998), Orientation(-0.08685167, 0.01374179, 0.04575999, -0.9950749), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 167,current eyeGaze_left: Position (-0.2106284, 1.139758, 0.1652038), Orientation(-0.0878427, 0.01429507, 0.04594912, -0.9949713), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 179,current eyeGaze_left: Position (-0.2106284, 1.139758, 0.1652038), Orientation(-0.0878427, 0.01429507, 0.04594912, -0.9949713), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 205,current eyeGaze_left: Position (-0.2105522, 1.139776, 0.1652217), Orientation(-0.0905678, 0.01456222, 0.04604127, -0.9947189), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 220,current eyeGaze_left: Position (-0.2105522, 1.139776, 0.1652217), Orientation(-0.0905678, 0.01456222, 0.04604127, -0.9947189), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 233,current eyeGaze_left: Position (-0.210494, 1.139766, 0.1652469), Orientation(-0.09346622, 0.0171276, 0.04625897, -0.9943998), Confidence: 0.5

Timestamp: 10/27/2024 10:54:17 AM, Millisecond: 247,current eyeGaze_left: Position (-0.210494, 1.139766, 0.1652469), Orientation(-0.09346622, 0.0171276, 0.04625897, -0.9943998), Confidence: 0.5

