Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 871,current eyeGaze_left: Position (-0.03504675, 0.6599381, 0.02995453), Orientation(0.09894946, -0.01811355, -0.02293711, 0.9946632), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 886,current eyeGaze_left: Position (-0.03504675, 0.6599381, 0.02995453), Orientation(0.09894946, -0.01811355, -0.02293711, 0.9946632), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 899,current eyeGaze_left: Position (-0.0353003, 0.6599985, 0.02961081), Orientation(0.09889108, -0.01722756, -0.02350546, 0.9946714), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 913,current eyeGaze_left: Position (-0.0353003, 0.6599985, 0.02961081), Orientation(0.09889108, -0.01722756, -0.02350546, 0.9946714), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 927,current eyeGaze_left: Position (-0.035506, 0.6600779, 0.02921267), Orientation(0.100419, -0.01783809, -0.02425179, 0.9944897), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 941,current eyeGaze_left: Position (-0.035506, 0.6600779, 0.02921267), Orientation(0.100419, -0.01783809, -0.02425179, 0.9944897), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 955,current eyeGaze_left: Position (-0.035506, 0.6600779, 0.02921267), Orientation(0.100419, -0.01783809, -0.02425179, 0.9944897), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 968,current eyeGaze_left: Position (-0.03569023, 0.6601541, 0.02893862), Orientation(0.1003218, -0.01946284, -0.02507891, 0.9944485), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 984,current eyeGaze_left: Position (-0.03569023, 0.6601541, 0.02893862), Orientation(0.1003218, -0.01946284, -0.02507891, 0.9944485), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:36 AM, Millisecond: 996,current eyeGaze_left: Position (-0.03597987, 0.6602594, 0.0285471), Orientation(0.099685, -0.02019812, -0.02580934, 0.9944791), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 11,current eyeGaze_left: Position (-0.03597987, 0.6602594, 0.0285471), Orientation(0.099685, -0.02019812, -0.02580934, 0.9944791), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 25,current eyeGaze_left: Position (-0.03636679, 0.6604087, 0.02814482), Orientation(0.09975636, -0.01821058, -0.02633882, 0.9944965), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 38,current eyeGaze_left: Position (-0.03636679, 0.6604087, 0.02814482), Orientation(0.09975636, -0.01821058, -0.02633882, 0.9944965), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 54,current eyeGaze_left: Position (-0.03636679, 0.6604087, 0.02814482), Orientation(0.09975636, -0.01821058, -0.02633882, 0.9944965), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 66,current eyeGaze_left: Position (-0.03677663, 0.6605962, 0.02799133), Orientation(0.09829156, -0.01815816, -0.02756248, 0.9946102), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 80,current eyeGaze_left: Position (-0.03677663, 0.6605962, 0.02799133), Orientation(0.09829156, -0.01815816, -0.02756248, 0.9946102), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 94,current eyeGaze_left: Position (-0.03727949, 0.6607951, 0.02783998), Orientation(0.0968825, -0.0185268, -0.02896159, 0.9947019), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 107,current eyeGaze_left: Position (-0.03727949, 0.6607951, 0.02783998), Orientation(0.0968825, -0.0185268, -0.02896159, 0.9947019), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 123,current eyeGaze_left: Position (-0.03727949, 0.6607951, 0.02783998), Orientation(0.0968825, -0.0185268, -0.02896159, 0.9947019), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 136,current eyeGaze_left: Position (-0.03777505, 0.6609787, 0.02767893), Orientation(0.0947657, -0.01846647, -0.02974525, 0.9948838), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 152,current eyeGaze_left: Position (-0.03777505, 0.6609787, 0.02767893), Orientation(0.0947657, -0.01846647, -0.02974525, 0.9948838), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 164,current eyeGaze_left: Position (-0.0381534, 0.6610586, 0.02777675), Orientation(0.08718178, -0.01791065, -0.0301722, 0.9955743), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 178,current eyeGaze_left: Position (-0.0381534, 0.6610586, 0.02777675), Orientation(0.08718178, -0.01791065, -0.0301722, 0.9955743), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 192,current eyeGaze_left: Position (-0.0381534, 0.6610586, 0.02777675), Orientation(0.08718178, -0.01791065, -0.0301722, 0.9955743), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 206,current eyeGaze_left: Position (-0.03850755, 0.6610815, 0.02788647), Orientation(0.08579968, -0.01945631, -0.03044811, 0.9956568), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 220,current eyeGaze_left: Position (-0.03850755, 0.6610815, 0.02788647), Orientation(0.08579968, -0.01945631, -0.03044811, 0.9956568), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 233,current eyeGaze_left: Position (-0.03889069, 0.6610617, 0.02789794), Orientation(0.08590854, -0.01838299, -0.03019788, 0.9956756), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 249,current eyeGaze_left: Position (-0.03889069, 0.6610617, 0.02789794), Orientation(0.08590854, -0.01838299, -0.03019788, 0.9956756), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 262,current eyeGaze_left: Position (-0.03915585, 0.661178, 0.02816004), Orientation(0.08534878, -0.0196855, -0.0299305, 0.9957068), Confidence: 0.9980469

