Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 740,current eyeGaze_left: Position (-0.1116849, 1.00657, 0.2148866), Orientation(0.1399726, -0.04156366, 0.004602648, 0.989272), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 754,current eyeGaze_left: Position (-0.1115334, 1.006365, 0.2148316), Orientation(0.1129118, -0.0352539, 0.004346375, 0.9929699), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 767,current eyeGaze_left: Position (-0.1115334, 1.006365, 0.2148316), Orientation(0.1129118, -0.0352539, 0.004346375, 0.9929699), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 782,current eyeGaze_left: Position (-0.1113912, 1.006148, 0.2147374), Orientation(0.02830123, -0.02658507, 0.002170878, 0.9992436), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 795,current eyeGaze_left: Position (-0.1113912, 1.006148, 0.2147374), Orientation(0.02830123, -0.02658507, 0.002170878, 0.9992436), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 809,current eyeGaze_left: Position (-0.1113912, 1.006148, 0.2147374), Orientation(0.02830123, -0.02658507, 0.002170878, 0.9992436), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 823,current eyeGaze_left: Position (-0.1112652, 1.006003, 0.2146147), Orientation(0.02643901, -0.02662286, 0.001805741, 0.9992942), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 836,current eyeGaze_left: Position (-0.1112652, 1.006003, 0.2146147), Orientation(0.02643901, -0.02662286, 0.001805741, 0.9992942), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 851,current eyeGaze_left: Position (-0.111195, 1.005932, 0.2144719), Orientation(0.02580254, -0.02665247, 0.00158829, 0.9993105), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 864,current eyeGaze_left: Position (-0.111195, 1.005932, 0.2144719), Orientation(0.02580254, -0.02665247, 0.00158829, 0.9993105), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 879,current eyeGaze_left: Position (-0.1111213, 1.005939, 0.2141604), Orientation(0.0289266, -0.02815049, 0.001705306, 0.9991837), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 892,current eyeGaze_left: Position (-0.1111213, 1.005939, 0.2141604), Orientation(0.0289266, -0.02815049, 0.001705306, 0.9991837), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 907,current eyeGaze_left: Position (-0.1111213, 1.005939, 0.2141604), Orientation(0.0289266, -0.02815049, 0.001705306, 0.9991837), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 920,current eyeGaze_left: Position (-0.1111457, 1.005884, 0.2138361), Orientation(0.02832066, -0.02673504, 0.002218634, 0.9992388), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 934,current eyeGaze_left: Position (-0.1111457, 1.005884, 0.2138361), Orientation(0.02832066, -0.02673504, 0.002218634, 0.9992388), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 949,current eyeGaze_left: Position (-0.1112586, 1.005714, 0.2135398), Orientation(0.0274481, -0.02759548, 0.002580489, 0.9992389), Confidence: 0.5

Timestamp: 11/2/2024 7:35:58 PM, Millisecond: 961,current eyeGaze_left: Position (-0.1112586, 1.005714, 0.2135398), Orientation(0.0274481, -0.02759548, 0.002580489, 0.9992389), Confidence: 0.5

