Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 656,current eyeGaze_left: Position (-0.01314756, 0.6835685, 0.04003081), Orientation(0.04340043, -0.02435881, -0.002346704, 0.9987579), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 669,current eyeGaze_left: Position (-0.01317405, 0.6837066, 0.04027799), Orientation(0.000725781, 0.02951324, -0.001869229, 0.9995623), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 685,current eyeGaze_left: Position (-0.01317405, 0.6837066, 0.04027799), Orientation(0.000725781, 0.02951324, -0.001869229, 0.9995623), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 697,current eyeGaze_left: Position (-0.0132295, 0.6840379, 0.04054982), Orientation(-0.01918165, 0.04008781, -0.001576617, 0.9990109), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 710,current eyeGaze_left: Position (-0.0132295, 0.6840379, 0.04054982), Orientation(-0.01918165, 0.04008781, -0.001576617, 0.9990109), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 725,current eyeGaze_left: Position (-0.0132295, 0.6840379, 0.04054982), Orientation(-0.01918165, 0.04008781, -0.001576617, 0.9990109), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 738,current eyeGaze_left: Position (-0.01334387, 0.6844826, 0.04087153), Orientation(-0.01746733, 0.0818736, 0.0004490539, 0.9964896), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 753,current eyeGaze_left: Position (-0.01334387, 0.6844826, 0.04087153), Orientation(-0.01746733, 0.0818736, 0.0004490539, 0.9964896), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 766,current eyeGaze_left: Position (-0.0134558, 0.6850941, 0.04119372), Orientation(0.03742118, 0.08014599, 0.003087583, 0.9960757), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 780,current eyeGaze_left: Position (-0.0134558, 0.6850941, 0.04119372), Orientation(0.03742118, 0.08014599, 0.003087583, 0.9960757), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 794,current eyeGaze_left: Position (-0.01363141, 0.685746, 0.04154984), Orientation(0.07668304, -0.03889857, 0.001404169, 0.9962955), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 807,current eyeGaze_left: Position (-0.01363141, 0.685746, 0.04154984), Orientation(0.07668304, -0.03889857, 0.001404169, 0.9962955), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 821,current eyeGaze_left: Position (-0.01380657, 0.6863792, 0.04196294), Orientation(0.07907929, -0.04242735, 0.00174287, 0.9959635), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 835,current eyeGaze_left: Position (-0.01380657, 0.6863792, 0.04196294), Orientation(0.07907929, -0.04242735, 0.00174287, 0.9959635), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 851,current eyeGaze_left: Position (-0.01380657, 0.6863792, 0.04196294), Orientation(0.07907929, -0.04242735, 0.00174287, 0.9959635), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 864,current eyeGaze_left: Position (-0.01398602, 0.6868822, 0.04243843), Orientation(0.07406862, -0.04342067, 0.001616468, 0.9963062), Confidence: 0.9980469

Timestamp: 2/4/2025 3:37:53 PM, Millisecond: 878,current eyeGaze_left: Position (-0.01398602, 0.6868822, 0.04243843), Orientation(0.07406862, -0.04342067, 0.001616468, 0.9963062), Confidence: 0.9980469

