Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 61,current eyeGaze_left: Position (-0.2565992, 1.140008, 0.1567687), Orientation(-0.123077, 0.03053294, 0.00588031, -0.9919098), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 76,current eyeGaze_left: Position (-0.2565992, 1.140008, 0.1567687), Orientation(-0.123077, 0.03053294, 0.00588031, -0.9919098), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 90,current eyeGaze_left: Position (-0.2565992, 1.140008, 0.1567687), Orientation(-0.123077, 0.03053294, 0.00588031, -0.9919098), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 104,current eyeGaze_left: Position (-0.256575, 1.140034, 0.1567891), Orientation(-0.1233645, 0.02967226, 0.005769324, -0.9919009), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 117,current eyeGaze_left: Position (-0.256575, 1.140034, 0.1567891), Orientation(-0.1233645, 0.02967226, 0.005769324, -0.9919009), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 132,current eyeGaze_left: Position (-0.2565731, 1.140065, 0.1567953), Orientation(-0.1259619, 0.02827704, 0.005539383, -0.9916166), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 145,current eyeGaze_left: Position (-0.2565731, 1.140065, 0.1567953), Orientation(-0.1259619, 0.02827704, 0.005539383, -0.9916166), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 160,current eyeGaze_left: Position (-0.2565731, 1.140065, 0.1567953), Orientation(-0.1259619, 0.02827704, 0.005539383, -0.9916166), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 173,current eyeGaze_left: Position (-0.2565629, 1.139879, 0.1568954), Orientation(-0.1272636, 0.02941064, 0.005908913, -0.9914152), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 188,current eyeGaze_left: Position (-0.2565629, 1.139879, 0.1568954), Orientation(-0.1272636, 0.02941064, 0.005908913, -0.9914152), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 201,current eyeGaze_left: Position (-0.2565533, 1.139878, 0.1569552), Orientation(-0.1250119, 0.0294329, 0.005920188, -0.9917009), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 215,current eyeGaze_left: Position (-0.2565533, 1.139878, 0.1569552), Orientation(-0.1250119, 0.0294329, 0.005920188, -0.9917009), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 230,current eyeGaze_left: Position (-0.2565533, 1.139878, 0.1569552), Orientation(-0.1250119, 0.0294329, 0.005920188, -0.9917009), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 243,current eyeGaze_left: Position (-0.2565272, 1.139918, 0.1570478), Orientation(-0.1277594, 0.02970436, 0.005853229, -0.9913431), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 258,current eyeGaze_left: Position (-0.2565272, 1.139918, 0.1570478), Orientation(-0.1277594, 0.02970436, 0.005853229, -0.9913431), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 271,current eyeGaze_left: Position (-0.2564803, 1.139944, 0.1571731), Orientation(-0.1248105, 0.0319513, 0.006364302, -0.9916455), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 284,current eyeGaze_left: Position (-0.2564803, 1.139944, 0.1571731), Orientation(-0.1248105, 0.0319513, 0.006364302, -0.9916455), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 300,current eyeGaze_left: Position (-0.2564176, 1.140024, 0.1572269), Orientation(-0.1251653, 0.03245694, 0.006338376, -0.9915847), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 313,current eyeGaze_left: Position (-0.2564176, 1.140024, 0.1572269), Orientation(-0.1251653, 0.03245694, 0.006338376, -0.9915847), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 327,current eyeGaze_left: Position (-0.2563422, 1.140129, 0.1572401), Orientation(-0.1250221, 0.03256469, 0.006242746, -0.9915999), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 341,current eyeGaze_left: Position (-0.2563422, 1.140129, 0.1572401), Orientation(-0.1250221, 0.03256469, 0.006242746, -0.9915999), Confidence: 0.5

Timestamp: 10/27/2024 10:46:49 AM, Millisecond: 355,current eyeGaze_left: Position (-0.2563422, 1.140129, 0.1572401), Orientation(-0.1250221, 0.03256469, 0.006242746, -0.9915999), Confidence: 0.5

