
Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 390,current eyeGaze_left: Position (0.001712982, 1.088314, -0.005569739), Orientation(0.1161881, -0.01175419, -0.0140898, 0.9930577), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 404,current eyeGaze_left: Position (0.001712982, 1.088314, -0.005569739), Orientation(0.1161881, -0.01175419, -0.0140898, 0.9930577), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 417,current eyeGaze_left: Position (0.00153378, 1.08822, -0.0056004), Orientation(0.1168058, -0.0113731, -0.01391974, 0.9929919), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 431,current eyeGaze_left: Position (0.00153378, 1.08822, -0.0056004), Orientation(0.1168058, -0.0113731, -0.01391974, 0.9929919), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 446,current eyeGaze_left: Position (0.001327828, 1.088113, -0.005596445), Orientation(0.1166832, -0.01087166, -0.0138855, 0.9930128), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 459,current eyeGaze_left: Position (0.001327828, 1.088113, -0.005596445), Orientation(0.1166832, -0.01087166, -0.0138855, 0.9930128), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 473,current eyeGaze_left: Position (0.001327828, 1.088113, -0.005596445), Orientation(0.1166832, -0.01087166, -0.0138855, 0.9930128), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 487,current eyeGaze_left: Position (0.001212403, 1.088131, -0.005636077), Orientation(0.116821, -0.01047181, -0.01384179, 0.9930014), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 501,current eyeGaze_left: Position (0.001212403, 1.088131, -0.005636077), Orientation(0.116821, -0.01047181, -0.01384179, 0.9930014), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 515,current eyeGaze_left: Position (0.001161672, 1.088211, -0.005700178), Orientation(0.1173484, -0.0145228, -0.01411225, 0.9928843), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 528,current eyeGaze_left: Position (0.001161672, 1.088211, -0.005700178), Orientation(0.1173484, -0.0145228, -0.01411225, 0.9928843), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 543,current eyeGaze_left: Position (0.001169257, 1.088392, -0.005788131), Orientation(0.1177983, -0.0146671, -0.01420624, 0.9928276), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 557,current eyeGaze_left: Position (0.001169257, 1.088392, -0.005788131), Orientation(0.1177983, -0.0146671, -0.01420624, 0.9928276), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 570,current eyeGaze_left: Position (0.001169257, 1.088392, -0.005788131), Orientation(0.1177983, -0.0146671, -0.01420624, 0.9928276), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 585,current eyeGaze_left: Position (0.001170825, 1.088498, -0.005827132), Orientation(0.1177889, -0.01269919, -0.01388962, 0.9928603), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 598,current eyeGaze_left: Position (0.001170825, 1.088498, -0.005827132), Orientation(0.1177889, -0.01269919, -0.01388962, 0.9928603), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 613,current eyeGaze_left: Position (0.001160588, 1.088512, -0.005793986), Orientation(0.1178501, -0.01282697, -0.01372094, 0.9928537), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 626,current eyeGaze_left: Position (0.001160588, 1.088512, -0.005793986), Orientation(0.1178501, -0.01282697, -0.01372094, 0.9928537), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 641,current eyeGaze_left: Position (0.001160588, 1.088512, -0.005793986), Orientation(0.1178501, -0.01282697, -0.01372094, 0.9928537), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 654,current eyeGaze_left: Position (0.001118705, 1.088439, -0.005699632), Orientation(0.1195543, -0.01196956, -0.01369392, 0.992661), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 668,current eyeGaze_left: Position (0.001118705, 1.088439, -0.005699632), Orientation(0.1195543, -0.01196956, -0.01369392, 0.992661), Confidence: 0.5

Timestamp: 11/24/2024 1:59:12 PM, Millisecond: 682,current eyeGaze_left: Position (0.001090236, 1.088352, -0.005618304), Orientation(0.1206375, -0.01261592, -0.01364912, 0.9925227), Confidence: 0.5

