Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 678,current eyeGaze_left: Position (-0.07159984, 0.697632, 0.1263621), Orientation(0.02743045, -0.0205105, -0.002656205, 0.9994098), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 691,current eyeGaze_left: Position (-0.07161746, 0.6976957, 0.126397), Orientation(0.02567837, -0.02118039, -0.003028788, 0.9994412), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 706,current eyeGaze_left: Position (-0.07161746, 0.6976957, 0.126397), Orientation(0.02567837, -0.02118039, -0.003028788, 0.9994412), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 720,current eyeGaze_left: Position (-0.0715792, 0.6976717, 0.1262641), Orientation(0.02175186, -0.01942048, -0.003241033, 0.9995695), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 733,current eyeGaze_left: Position (-0.0715792, 0.6976717, 0.1262641), Orientation(0.02175186, -0.01942048, -0.003241033, 0.9995695), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 748,current eyeGaze_left: Position (-0.0715792, 0.6976717, 0.1262641), Orientation(0.02175186, -0.01942048, -0.003241033, 0.9995695), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 761,current eyeGaze_left: Position (-0.07158894, 0.69769, 0.1263456), Orientation(0.02217239, -0.0180674, -0.003416687, 0.9995851), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 775,current eyeGaze_left: Position (-0.07158894, 0.69769, 0.1263456), Orientation(0.02217239, -0.0180674, -0.003416687, 0.9995851), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 790,current eyeGaze_left: Position (-0.07161248, 0.6976889, 0.1264689), Orientation(0.0207069, -0.01817932, -0.003862201, 0.9996127), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 804,current eyeGaze_left: Position (-0.07161248, 0.6976889, 0.1264689), Orientation(0.0207069, -0.01817932, -0.003862201, 0.9996127), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 817,current eyeGaze_left: Position (-0.07165073, 0.6976726, 0.1266132), Orientation(0.02077316, -0.0383199, -0.006017578, 0.9990314), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 830,current eyeGaze_left: Position (-0.07165073, 0.6976726, 0.1266132), Orientation(0.02077316, -0.0383199, -0.006017578, 0.9990314), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 844,current eyeGaze_left: Position (-0.07165886, 0.6977581, 0.12688), Orientation(0.003819372, -0.08318152, -0.01048122, 0.9964721), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 858,current eyeGaze_left: Position (-0.07165886, 0.6977581, 0.12688), Orientation(0.003819372, -0.08318152, -0.01048122, 0.9964721), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 872,current eyeGaze_left: Position (-0.07165886, 0.6977581, 0.12688), Orientation(0.003819372, -0.08318152, -0.01048122, 0.9964721), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 885,current eyeGaze_left: Position (-0.07169452, 0.697881, 0.1271613), Orientation(-0.001611001, -0.08217999, -0.01093137, 0.9965562), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 899,current eyeGaze_left: Position (-0.07169452, 0.697881, 0.1271613), Orientation(-0.001611001, -0.08217999, -0.01093137, 0.9965562), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 914,current eyeGaze_left: Position (-0.07169452, 0.697881, 0.1271613), Orientation(-0.001611001, -0.08217999, -0.01093137, 0.9965562), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 926,current eyeGaze_left: Position (-0.07179068, 0.6979961, 0.1273413), Orientation(-0.0007276456, -0.07762063, -0.01116946, 0.9969202), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 941,current eyeGaze_left: Position (-0.07179068, 0.6979961, 0.1273413), Orientation(-0.0007276456, -0.07762063, -0.01116946, 0.9969202), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 954,current eyeGaze_left: Position (-0.07178032, 0.6982132, 0.1277588), Orientation(-0.001096976, -0.07606055, -0.01174003, 0.9970334), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 968,current eyeGaze_left: Position (-0.07178032, 0.6982132, 0.1277588), Orientation(-0.001096976, -0.07606055, -0.01174003, 0.9970334), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 982,current eyeGaze_left: Position (-0.07172301, 0.6984521, 0.1282046), Orientation(-0.0002460583, -0.07591723, -0.01266572, 0.9970336), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:49 AM, Millisecond: 995,current eyeGaze_left: Position (-0.07172301, 0.6984521, 0.1282046), Orientation(-0.0002460583, -0.07591723, -0.01266572, 0.9970336), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 10,current eyeGaze_left: Position (-0.07172301, 0.6984521, 0.1282046), Orientation(-0.0002460583, -0.07591723, -0.01266572, 0.9970336), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 24,current eyeGaze_left: Position (-0.07164571, 0.6987036, 0.1286217), Orientation(0.02590497, -0.07443993, -0.01357073, 0.9967966), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 38,current eyeGaze_left: Position (-0.07164571, 0.6987036, 0.1286217), Orientation(0.02590497, -0.07443993, -0.01357073, 0.9967966), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 52,current eyeGaze_left: Position (-0.07148216, 0.6989952, 0.1291211), Orientation(0.03712946, -0.01402828, -0.009162625, 0.99917), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 65,current eyeGaze_left: Position (-0.07148216, 0.6989952, 0.1291211), Orientation(0.03712946, -0.01402828, -0.009162625, 0.99917), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 80,current eyeGaze_left: Position (-0.07124329, 0.6992878, 0.129661), Orientation(0.04749678, -0.0122074, -0.009524873, 0.9987514), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 92,current eyeGaze_left: Position (-0.07124329, 0.6992878, 0.129661), Orientation(0.04749678, -0.0122074, -0.009524873, 0.9987514), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 107,current eyeGaze_left: Position (-0.07124329, 0.6992878, 0.129661), Orientation(0.04749678, -0.0122074, -0.009524873, 0.9987514), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 121,current eyeGaze_left: Position (-0.07109331, 0.6994956, 0.130059), Orientation(0.0485568, -0.01296182, -0.01014624, 0.9986848), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 135,current eyeGaze_left: Position (-0.07109331, 0.6994956, 0.130059), Orientation(0.0485568, -0.01296182, -0.01014624, 0.9986848), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 150,current eyeGaze_left: Position (-0.07088281, 0.6997868, 0.1306572), Orientation(0.0462448, -0.01709319, -0.01065335, 0.9987271), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 163,current eyeGaze_left: Position (-0.07088281, 0.6997868, 0.1306572), Orientation(0.0462448, -0.01709319, -0.01065335, 0.9987271), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 178,current eyeGaze_left: Position (-0.07088281, 0.6997868, 0.1306572), Orientation(0.0462448, -0.01709319, -0.01065335, 0.9987271), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 192,current eyeGaze_left: Position (-0.07068355, 0.7000306, 0.1313532), Orientation(0.04299482, -0.0172022, -0.01015243, 0.9988756), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 206,current eyeGaze_left: Position (-0.07068355, 0.7000306, 0.1313532), Orientation(0.04299482, -0.0172022, -0.01015243, 0.9988756), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 220,current eyeGaze_left: Position (-0.07057886, 0.7001573, 0.1321445), Orientation(0.04365131, -0.01677172, -0.009786041, 0.9988582), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 233,current eyeGaze_left: Position (-0.07057886, 0.7001573, 0.1321445), Orientation(0.04365131, -0.01677172, -0.009786041, 0.9988582), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 249,current eyeGaze_left: Position (-0.0704517, 0.7004175, 0.1329959), Orientation(0.04587713, -0.01699838, -0.009487295, 0.9987573), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 262,current eyeGaze_left: Position (-0.0704517, 0.7004175, 0.1329959), Orientation(0.04587713, -0.01699838, -0.009487295, 0.9987573), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 276,current eyeGaze_left: Position (-0.0704517, 0.7004175, 0.1329959), Orientation(0.04587713, -0.01699838, -0.009487295, 0.9987573), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 290,current eyeGaze_left: Position (-0.0703418, 0.7006279, 0.1338726), Orientation(0.04710607, -0.01640298, -0.009135599, 0.9987135), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 305,current eyeGaze_left: Position (-0.0703418, 0.7006279, 0.1338726), Orientation(0.04710607, -0.01640298, -0.009135599, 0.9987135), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 319,current eyeGaze_left: Position (-0.07026868, 0.7007543, 0.1347218), Orientation(0.04756457, -0.01577968, -0.009282055, 0.9987004), Confidence: 0.9980469

Timestamp: 2/5/2025 1:24:50 AM, Millisecond: 332,current eyeGaze_left: Position (-0.07026868, 0.7007543, 0.1347218), Orientation(0.04756457, -0.01577968, -0.009282055, 0.9987004), Confidence: 0.9980469

