Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 748,current eyeGaze_left: Position (-0.1009082, 1.100428, 0.09209332), Orientation(0.1581293, -0.03449046, 0.007298521, 0.9867889), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 763,current eyeGaze_left: Position (-0.1010368, 1.100438, 0.09216362), Orientation(0.1582416, -0.03375664, 0.007441667, 0.9867951), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 777,current eyeGaze_left: Position (-0.1010368, 1.100438, 0.09216362), Orientation(0.1582416, -0.03375664, 0.007441667, 0.9867951), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 791,current eyeGaze_left: Position (-0.1010368, 1.100438, 0.09216362), Orientation(0.1582416, -0.03375664, 0.007441667, 0.9867951), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 805,current eyeGaze_left: Position (-0.1011774, 1.100388, 0.09217862), Orientation(0.1574165, -0.03385118, 0.007503934, 0.9869235), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 818,current eyeGaze_left: Position (-0.1011774, 1.100388, 0.09217862), Orientation(0.1574165, -0.03385118, 0.007503934, 0.9869235), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 832,current eyeGaze_left: Position (-0.1012641, 1.100256, 0.09215184), Orientation(0.1556795, -0.0336646, 0.007592595, 0.9872046), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 848,current eyeGaze_left: Position (-0.1012641, 1.100256, 0.09215184), Orientation(0.1556795, -0.0336646, 0.007592595, 0.9872046), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 860,current eyeGaze_left: Position (-0.1012641, 1.100256, 0.09215184), Orientation(0.1556795, -0.0336646, 0.007592595, 0.9872046), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 874,current eyeGaze_left: Position (-0.1013727, 1.10007, 0.09205643), Orientation(0.09319144, -0.04239197, 0.004576934, 0.9947346), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 888,current eyeGaze_left: Position (-0.1013727, 1.10007, 0.09205643), Orientation(0.09319144, -0.04239197, 0.004576934, 0.9947346), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 902,current eyeGaze_left: Position (-0.1014892, 1.09984, 0.09191202), Orientation(0.09210698, -0.04348294, 0.00443611, 0.9947894), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 916,current eyeGaze_left: Position (-0.1014892, 1.09984, 0.09191202), Orientation(0.09210698, -0.04348294, 0.00443611, 0.9947894), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 931,current eyeGaze_left: Position (-0.1015817, 1.099617, 0.09169043), Orientation(0.09095597, -0.04336632, 0.004503499, 0.9949), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 943,current eyeGaze_left: Position (-0.1015817, 1.099617, 0.09169043), Orientation(0.09095597, -0.04336632, 0.004503499, 0.9949), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 958,current eyeGaze_left: Position (-0.1015817, 1.099617, 0.09169043), Orientation(0.09095597, -0.04336632, 0.004503499, 0.9949), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 972,current eyeGaze_left: Position (-0.1016726, 1.09937, 0.09147442), Orientation(0.07492634, -0.0360384, 0.005533757, 0.9965224), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 985,current eyeGaze_left: Position (-0.1016726, 1.09937, 0.09147442), Orientation(0.07492634, -0.0360384, 0.005533757, 0.9965224), Confidence: 0.5

Timestamp: 11/2/2024 9:13:52 PM, Millisecond: 999,current eyeGaze_left: Position (-0.1017582, 1.099149, 0.09127139), Orientation(0.07196663, -0.03584602, 0.005713714, 0.9967464), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 14,current eyeGaze_left: Position (-0.1017582, 1.099149, 0.09127139), Orientation(0.07196663, -0.03584602, 0.005713714, 0.9967464), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 27,current eyeGaze_left: Position (-0.1018186, 1.098985, 0.09102897), Orientation(0.07295901, -0.036569, 0.005763836, 0.9966476), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 41,current eyeGaze_left: Position (-0.1018186, 1.098985, 0.09102897), Orientation(0.07295901, -0.036569, 0.005763836, 0.9966476), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 55,current eyeGaze_left: Position (-0.1018186, 1.098985, 0.09102897), Orientation(0.07295901, -0.036569, 0.005763836, 0.9966476), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 69,current eyeGaze_left: Position (-0.1018096, 1.098823, 0.09078075), Orientation(0.07472721, -0.0380898, 0.005692356, 0.9964601), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 82,current eyeGaze_left: Position (-0.1018096, 1.098823, 0.09078075), Orientation(0.07472721, -0.0380898, 0.005692356, 0.9964601), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 98,current eyeGaze_left: Position (-0.1017295, 1.098704, 0.09050581), Orientation(0.0746897, -0.03789043, 0.005418665, 0.9964721), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 110,current eyeGaze_left: Position (-0.1017295, 1.098704, 0.09050581), Orientation(0.0746897, -0.03789043, 0.005418665, 0.9964721), Confidence: 0.5

Timestamp: 11/2/2024 9:13:53 PM, Millisecond: 125,current eyeGaze_left: Position (-0.1017295, 1.098704, 0.09050581), Orientation(0.0746897, -0.03789043, 0.005418665, 0.9964721), Confidence: 0.5

