Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 195,current eyeGaze_left: Position (-0.009464134, 1.084879, 0.1026617), Orientation(0.08745685, -0.006005139, -0.0239822, 0.9958615), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 209,current eyeGaze_left: Position (-0.00937533, 1.084909, 0.1026634), Orientation(0.08567087, -0.006038739, -0.02406603, 0.9960145), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 223,current eyeGaze_left: Position (-0.00937533, 1.084909, 0.1026634), Orientation(0.08567087, -0.006038739, -0.02406603, 0.9960145), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 238,current eyeGaze_left: Position (-0.00937533, 1.084909, 0.1026634), Orientation(0.08567087, -0.006038739, -0.02406603, 0.9960145), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 251,current eyeGaze_left: Position (-0.009266242, 1.084941, 0.1026521), Orientation(0.08355174, -0.006412392, -0.02432347, 0.9961858), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 265,current eyeGaze_left: Position (-0.009266242, 1.084941, 0.1026521), Orientation(0.08355174, -0.006412392, -0.02432347, 0.9961858), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 280,current eyeGaze_left: Position (-0.009129092, 1.085039, 0.1025857), Orientation(0.08569098, -0.006612203, -0.02448821, 0.9959989), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 293,current eyeGaze_left: Position (-0.009129092, 1.085039, 0.1025857), Orientation(0.08569098, -0.006612203, -0.02448821, 0.9959989), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 307,current eyeGaze_left: Position (-0.009021029, 1.085032, 0.1025698), Orientation(0.08684953, -0.002733059, -0.02418201, 0.9959242), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 321,current eyeGaze_left: Position (-0.009021029, 1.085032, 0.1025698), Orientation(0.08684953, -0.002733059, -0.02418201, 0.9959242), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 335,current eyeGaze_left: Position (-0.009021029, 1.085032, 0.1025698), Orientation(0.08684953, -0.002733059, -0.02418201, 0.9959242), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 349,current eyeGaze_left: Position (-0.008947145, 1.085018, 0.1025598), Orientation(0.08674827, -0.002823939, -0.02430101, 0.9959298), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 363,current eyeGaze_left: Position (-0.008947145, 1.085018, 0.1025598), Orientation(0.08674827, -0.002823939, -0.02430101, 0.9959298), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 375,current eyeGaze_left: Position (-0.008897077, 1.084975, 0.1025627), Orientation(0.08660478, -0.006425529, -0.02472399, 0.9959151), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 389,current eyeGaze_left: Position (-0.008897077, 1.084975, 0.1025627), Orientation(0.08660478, -0.006425529, -0.02472399, 0.9959151), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 403,current eyeGaze_left: Position (-0.008897077, 1.084975, 0.1025627), Orientation(0.08660478, -0.006425529, -0.02472399, 0.9959151), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 416,current eyeGaze_left: Position (-0.008870024, 1.084973, 0.1025588), Orientation(0.08453297, -0.006344818, -0.02476235, 0.9960927), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 431,current eyeGaze_left: Position (-0.008870024, 1.084973, 0.1025588), Orientation(0.08453297, -0.006344818, -0.02476235, 0.9960927), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 445,current eyeGaze_left: Position (-0.00886219, 1.084967, 0.1025632), Orientation(0.08448446, -0.006315518, -0.02477368, 0.9960967), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 458,current eyeGaze_left: Position (-0.00886219, 1.084967, 0.1025632), Orientation(0.08448446, -0.006315518, -0.02477368, 0.9960967), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 473,current eyeGaze_left: Position (-0.00886219, 1.084967, 0.1025632), Orientation(0.08448446, -0.006315518, -0.02477368, 0.9960967), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 487,current eyeGaze_left: Position (-0.008910086, 1.084995, 0.1026302), Orientation(0.08439776, -0.004665362, -0.02460566, 0.9961173), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 501,current eyeGaze_left: Position (-0.008910086, 1.084995, 0.1026302), Orientation(0.08439776, -0.004665362, -0.02460566, 0.9961173), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 515,current eyeGaze_left: Position (-0.008928359, 1.085019, 0.1026433), Orientation(0.08448144, -0.004756696, -0.02463541, 0.9961091), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 528,current eyeGaze_left: Position (-0.008928359, 1.085019, 0.1026433), Orientation(0.08448144, -0.004756696, -0.02463541, 0.9961091), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 543,current eyeGaze_left: Position (-0.008942347, 1.085045, 0.1026505), Orientation(0.08628004, -0.004817647, -0.02456342, 0.9959564), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 556,current eyeGaze_left: Position (-0.008942347, 1.085045, 0.1026505), Orientation(0.08628004, -0.004817647, -0.02456342, 0.9959564), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 571,current eyeGaze_left: Position (-0.008942347, 1.085045, 0.1026505), Orientation(0.08628004, -0.004817647, -0.02456342, 0.9959564), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 584,current eyeGaze_left: Position (-0.008848567, 1.084997, 0.1026714), Orientation(0.08779474, -0.004880223, -0.02450225, 0.9958252), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 598,current eyeGaze_left: Position (-0.008848567, 1.084997, 0.1026714), Orientation(0.08779474, -0.004880223, -0.02450225, 0.9958252), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 613,current eyeGaze_left: Position (-0.008868761, 1.085, 0.1026767), Orientation(0.08649683, -0.005598575, -0.02454147, 0.9959342), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 626,current eyeGaze_left: Position (-0.008868761, 1.085, 0.1026767), Orientation(0.08649683, -0.005598575, -0.02454147, 0.9959342), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 641,current eyeGaze_left: Position (-0.008912448, 1.085003, 0.1026794), Orientation(0.08615333, -0.005609454, -0.02445088, 0.9959661), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 654,current eyeGaze_left: Position (-0.008912448, 1.085003, 0.1026794), Orientation(0.08615333, -0.005609454, -0.02445088, 0.9959661), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 669,current eyeGaze_left: Position (-0.008912448, 1.085003, 0.1026794), Orientation(0.08615333, -0.005609454, -0.02445088, 0.9959661), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 682,current eyeGaze_left: Position (-0.009016421, 1.085081, 0.1027222), Orientation(0.08624613, -0.005612903, -0.02439355, 0.9959595), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 696,current eyeGaze_left: Position (-0.009016421, 1.085081, 0.1027222), Orientation(0.08624613, -0.005612903, -0.02439355, 0.9959595), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 711,current eyeGaze_left: Position (-0.009090494, 1.085043, 0.1026984), Orientation(0.0882635, -0.005904568, -0.02424914, 0.9957846), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 724,current eyeGaze_left: Position (-0.009090494, 1.085043, 0.1026984), Orientation(0.0882635, -0.005904568, -0.02424914, 0.9957846), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 738,current eyeGaze_left: Position (-0.009090494, 1.085043, 0.1026984), Orientation(0.0882635, -0.005904568, -0.02424914, 0.9957846), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 752,current eyeGaze_left: Position (-0.009160973, 1.085002, 0.1026607), Orientation(0.08818331, -0.005939019, -0.02419909, 0.9957926), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 766,current eyeGaze_left: Position (-0.009160973, 1.085002, 0.1026607), Orientation(0.08818331, -0.005939019, -0.02419909, 0.9957926), Confidence: 0.5

Timestamp: 10/18/2024 12:46:26 AM, Millisecond: 780,current eyeGaze_left: Position (-0.009230059, 1.084916, 0.1026031), Orientation(0.08735996, -0.007147085, -0.02448031, 0.9958504), Confidence: 0.5

