Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 333,current eyeGaze_left: Position (0.07325756, 1.018925, 0.268633), Orientation(0.09517179, 0.01544946, 0.01423278, 0.9952391), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 348,current eyeGaze_left: Position (0.07325756, 1.018925, 0.268633), Orientation(0.09517179, 0.01544946, 0.01423278, 0.9952391), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 362,current eyeGaze_left: Position (0.07316817, 1.018842, 0.2684785), Orientation(0.09465253, 0.01520338, 0.01427819, 0.9952919), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 375,current eyeGaze_left: Position (0.07316817, 1.018842, 0.2684785), Orientation(0.09465253, 0.01520338, 0.01427819, 0.9952919), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 390,current eyeGaze_left: Position (0.07311247, 1.018727, 0.2683048), Orientation(0.08868325, 0.01717522, 0.01491524, 0.9958001), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 403,current eyeGaze_left: Position (0.07311247, 1.018727, 0.2683048), Orientation(0.08868325, 0.01717522, 0.01491524, 0.9958001), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 417,current eyeGaze_left: Position (0.07311123, 1.018581, 0.2681061), Orientation(0.08704381, 0.01686152, 0.0151462, 0.9959465), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 431,current eyeGaze_left: Position (0.07311123, 1.018581, 0.2681061), Orientation(0.08704381, 0.01686152, 0.0151462, 0.9959465), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 446,current eyeGaze_left: Position (0.07311123, 1.018581, 0.2681061), Orientation(0.08704381, 0.01686152, 0.0151462, 0.9959465), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 473,current eyeGaze_left: Position (0.07309349, 1.018431, 0.267919), Orientation(0.08629274, 0.01399362, 0.0150203, 0.9960583), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 487,current eyeGaze_left: Position (0.07306486, 1.018249, 0.2677532), Orientation(0.09075437, 0.01416264, 0.01509332, 0.9956583), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 500,current eyeGaze_left: Position (0.07306486, 1.018249, 0.2677532), Orientation(0.09075437, 0.01416264, 0.01509332, 0.9956583), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 514,current eyeGaze_left: Position (0.07306486, 1.018249, 0.2677532), Orientation(0.09075437, 0.01416264, 0.01509332, 0.9956583), Confidence: 0.5

