Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 321,current eyeGaze_left: Position (0.02208723, 1.12103, 0.2133165), Orientation(0.1652873, 0.006651652, -0.03965203, 0.9854257), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 333,current eyeGaze_left: Position (0.02208723, 1.12103, 0.2133165), Orientation(0.1652873, 0.006651652, -0.03965203, 0.9854257), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 348,current eyeGaze_left: Position (0.02208723, 1.12103, 0.2133165), Orientation(0.1652873, 0.006651652, -0.03965203, 0.9854257), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 362,current eyeGaze_left: Position (0.02216033, 1.121083, 0.2131157), Orientation(0.1658015, 0.005498038, -0.03908291, 0.9853691), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 376,current eyeGaze_left: Position (0.02216033, 1.121083, 0.2131157), Orientation(0.1658015, 0.005498038, -0.03908291, 0.9853691), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 390,current eyeGaze_left: Position (0.02222341, 1.121083, 0.2129649), Orientation(0.1674479, 0.004014811, -0.03852495, 0.9851198), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 403,current eyeGaze_left: Position (0.02222341, 1.121083, 0.2129649), Orientation(0.1674479, 0.004014811, -0.03852495, 0.9851198), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 418,current eyeGaze_left: Position (0.02229051, 1.121064, 0.2129767), Orientation(0.1678023, 0.002867371, -0.03793827, 0.9850863), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 431,current eyeGaze_left: Position (0.02229051, 1.121064, 0.2129767), Orientation(0.1678023, 0.002867371, -0.03793827, 0.9850863), Confidence: 0.5

Timestamp: 11/2/2024 4:28:15 PM, Millisecond: 446,current eyeGaze_left: Position (0.02229051, 1.121064, 0.2129767), Orientation(0.1678023, 0.002867371, -0.03793827, 0.9850863), Confidence: 0.5

